"","identifier","date","volume","issue","year"
"1","sim_newsweek-us_1937-01-23_9_4","1937-01-23",9,4,1937
"2","sim_newsweek-us_1937-02-06_9_6","1937-02-06",9,6,1937
"3","sim_newsweek-us_1937-03-27_9_13","1937-03-27",9,13,1937
"4","sim_newsweek-us_1937-04-24_9_17","1937-04-24",9,17,1937
"5","sim_newsweek-us_1937-05-15_9_20","1937-05-15",9,20,1937
"6","sim_newsweek-us_1937-06-26_9_26","1937-06-26",9,26,1937
"7","sim_newsweek-us_1937-07-03_10_1","1937-07-03",10,1,1937
"8","sim_newsweek-us_1937-08-07_10_6","1937-08-07",10,6,1937
"9","sim_newsweek-us_1937-09-27_10_13","1937-09-27",10,13,1937
"10","sim_newsweek-us_1937-10-04_10_14","1937-10-04",10,14,1937
"11","sim_newsweek-us_1937-11-22_10_21","1937-11-22",10,21,1937
"12","sim_newsweek-us_1937-12-27_10_26","1937-12-27",10,26,1937
"13","sim_newsweek-us_1938-01-31_11_5","1938-01-31",11,5,1938
"14","sim_newsweek-us_1938-02-28_11_9","1938-02-28",11,9,1938
"15","sim_newsweek-us_1938-03-07_11_10","1938-03-07",11,10,1938
"16","sim_newsweek-us_1938-04-11_11_15","1938-04-11",11,15,1938
"17","sim_newsweek-us_1938-05-23_11_21","1938-05-23",11,21,1938
"18","sim_newsweek-us_1938-06-13_11_24","1938-06-13",11,24,1938
"19","sim_newsweek-us_1938-07-11_12_2","1938-07-11",12,2,1938
"20","sim_newsweek-us_1938-08-15_12_7","1938-08-15",12,7,1938
"21","sim_newsweek-us_1938-09-05_12_10","1938-09-05",12,10,1938
"22","sim_newsweek-us_1938-10-31_12_18","1938-10-31",12,18,1938
"23","sim_newsweek-us_1938-11-14_12_20","1938-11-14",12,20,1938
"24","sim_newsweek-us_1938-12-05_12_23","1938-12-05",12,23,1938
"25","sim_newsweek-us_1939-01-09_13_2","1939-01-09",13,2,1939
"26","sim_newsweek-us_1939-02-06_13_6","1939-02-06",13,6,1939
"27","sim_newsweek-us_1939-03-13_13_11","1939-03-13",13,11,1939
"28","sim_newsweek-us_1939-04-10_13_15","1939-04-10",13,15,1939
"29","sim_newsweek-us_1939-05-08_13_19","1939-05-08",13,19,1939
"30","sim_newsweek-us_1939-06-05_13_23","1939-06-05",13,23,1939
"31","sim_newsweek-us_1939-07-17_14_3","1939-07-17",14,3,1939
"32","sim_newsweek-us_1939-08-21_14_8","1939-08-21",14,8,1939
"33","sim_newsweek-us_1939-09-04_14_10","1939-09-04",14,10,1939
"34","sim_newsweek-us_1939-10-09_14_15","1939-10-09",14,15,1939
"35","sim_newsweek-us_1939-11-27_14_22","1939-11-27",14,22,1939
"36","sim_newsweek-us_1939-12-11_14_24","1939-12-11",14,24,1939
"37","sim_newsweek-us_1940-01-22_15_4","1940-01-22",15,4,1940
"38","sim_newsweek-us_1940-02-05_15_6","1940-02-05",15,6,1940
"39","sim_newsweek-us_1940-03-11_15_11","1940-03-11",15,11,1940
"40","sim_newsweek-us_1940-04-15_15_16","1940-04-15",15,16,1940
"41","sim_newsweek-us_1940-05-20_15_21","1940-05-20",15,21,1940
"42","sim_newsweek-us_1940-06-10_15_24","1940-06-10",15,24,1940
"43","sim_newsweek-us_1940-07-29_16_5","1940-07-29",16,5,1940
"44","sim_newsweek-us_1940-08-12_16_7","1940-08-12",16,7,1940
"45","sim_newsweek-us_1940-09-09_16_11","1940-09-09",16,11,1940
"46","sim_newsweek-us_1940-10-07_16_15","1940-10-07",16,15,1940
"47","sim_newsweek-us_1940-11-11_16_20","1940-11-11",16,20,1940
"48","sim_newsweek-us_1940-12-16_16_25","1940-12-16",16,25,1940
"49","sim_newsweek-us_1941-01-13_17_2","1941-01-13",17,2,1941
"50","sim_newsweek-us_1941-02-10_17_6","1941-02-10",17,6,1941
"51","sim_newsweek-us_1941-03-10_17_10","1941-03-10",17,10,1941
"52","sim_newsweek-us_1941-04-07_17_14","1941-04-07",17,14,1941
"53","sim_newsweek-us_1941-05-26_17_21","1941-05-26",17,21,1941
"54","sim_newsweek-us_1941-06-02_17_22","1941-06-02",17,22,1941
"55","sim_newsweek-us_1941-07-14_18_2","1941-07-14",18,2,1941
"56","sim_newsweek-us_1941-08-25_18_8","1941-08-25",18,8,1941
"57","sim_newsweek-us_1941-09-22_18_12","1941-09-22",18,12,1941
"58","sim_newsweek-us_1941-10-27_18_17","1941-10-27",18,17,1941
"59","sim_newsweek-us_1941-11-24_18_21","1941-11-24",18,21,1941
"60","sim_newsweek-us_1941-12-08_18_23","1941-12-08",18,23,1941
"61","sim_newsweek-us_1942-01-12_19_2","1942-01-12",19,2,1942
"62","sim_newsweek-us_1942-02-09_19_6","1942-02-09",19,6,1942
"63","sim_newsweek-us_1942-03-02_19_9","1942-03-02",19,9,1942
"64","sim_newsweek-us_1942-04-20_19_16","1942-04-20",19,16,1942
"65","sim_newsweek-us_1942-05-11_19_19","1942-05-11",19,19,1942
"66","sim_newsweek-us_1942-06-08_19_23","1942-06-08",19,23,1942
"67","sim_newsweek-us_1942-07-13_20_2","1942-07-13",20,2,1942
"68","sim_newsweek-us_1942-08-17_20_7","1942-08-17",20,7,1942
"69","sim_newsweek-us_1942-09-21_20_12","1942-09-21",20,12,1942
"70","sim_newsweek-us_1942-10-12_20_15","1942-10-12",20,15,1942
"71","sim_newsweek-us_1942-11-30_20_22","1942-11-30",20,22,1942
"72","sim_newsweek-us_1943-01-11_21_2","1943-01-11",21,2,1943
"73","sim_newsweek-us_1943-02-15_21_7","1943-02-15",21,7,1943
"74","sim_newsweek-us_1943-03-01_21_9","1943-03-01",21,9,1943
"75","sim_newsweek-us_1943-04-19_21_16","1943-04-19",21,16,1943
"76","sim_newsweek-us_1943-05-24_21_21","1943-05-24",21,21,1943
"77","sim_newsweek-us_1943-06-28_21_26","1943-06-28",21,26,1943
"78","sim_newsweek-us_1943-07-19_22_3","1943-07-19",22,3,1943
"79","sim_newsweek-us_1943-08-02_22_5","1943-08-02",22,5,1943
"80","sim_newsweek-us_1943-09-20_22_12","1943-09-20",22,12,1943
"81","sim_newsweek-us_1943-10-25_22_17","1943-10-25",22,17,1943
"82","sim_newsweek-us_1943-11-15_22_20","1943-11-15",22,20,1943
"83","sim_newsweek-us_1943-12-20_22_25","1943-12-20",22,25,1943
"84","sim_newsweek-us_1944-01-31_23_5","1944-01-31",23,5,1944
"85","sim_newsweek-us_1944-02-07_23_6","1944-02-07",23,6,1944
"86","sim_newsweek-us_1944-03-06_23_10","1944-03-06",23,10,1944
"87","sim_newsweek-us_1944-04-03_23_14","1944-04-03",23,14,1944
"88","sim_newsweek-us_1944-05-22_23_21","1944-05-22",23,21,1944
"89","sim_newsweek-us_1944-06-19_23_25","1944-06-19",23,25,1944
"90","sim_newsweek-us_1944-07-03_24_1","1944-07-03",24,1,1944
"91","sim_newsweek-us_1944-08-21_24_8","1944-08-21",24,8,1944
"92","sim_newsweek-us_1944-09-04_24_10","1944-09-04",24,10,1944
"93","sim_newsweek-us_1944-10-02_24_14","1944-10-02",24,14,1944
"94","sim_newsweek-us_1944-11-27_24_22","1944-11-27",24,22,1944
"95","sim_newsweek-us_1944-12-04_24_23","1944-12-04",24,23,1944
"96","sim_newsweek-us_1945-01-22_25_4","1945-01-22",25,4,1945
"97","sim_newsweek-us_1945-02-19_25_8","1945-02-19",25,8,1945
"98","sim_newsweek-us_1945-03-05_25_10","1945-03-05",25,10,1945
"99","sim_newsweek-us_1945-04-09_25_15","1945-04-09",25,15,1945
"100","sim_newsweek-us_1945-05-28_25_22","1945-05-28",25,22,1945
"101","sim_newsweek-us_1945-06-25_25_26","1945-06-25",25,26,1945
"102","sim_newsweek-us_1945-07-30_26_5","1945-07-30",26,5,1945
"103","sim_newsweek-us_1945-08-13_26_7","1945-08-13",26,7,1945
"104","sim_newsweek-us_1945-09-10_26_11","1945-09-10",26,11,1945
"105","sim_newsweek-us_1945-10-15_26_16","1945-10-15",26,16,1945
"106","sim_newsweek-us_1945-11-26_26_22","1945-11-26",26,22,1945
"107","sim_newsweek-us_1945-12-03_26_23","1945-12-03",26,23,1945
"108","sim_newsweek-us_1946-01-21_27_3","1946-01-21",27,3,1946
"109","sim_newsweek-us_1946-02-18_27_7","1946-02-18",27,7,1946
"110","sim_newsweek-us_1946-03-11_27_10","1946-03-11",27,10,1946
"111","sim_newsweek-us_1946-04-29_27_17","1946-04-29",27,17,1946
"112","sim_newsweek-us_1946-05-06_27_18","1946-05-06",27,18,1946
"113","sim_newsweek-us_1946-06-10_27_23","1946-06-10",27,23,1946
"114","sim_newsweek-us_1946-07-29_28_5","1946-07-29",28,5,1946
"115","sim_newsweek-us_1946-08-12_28_7","1946-08-12",28,7,1946
"116","sim_newsweek-us_1946-09-23_28_13","1946-09-23",28,13,1946
"117","sim_newsweek-us_1946-10-21_28_17","1946-10-21",28,17,1946
"118","sim_newsweek-us_1946-11-04_28_19","1946-11-04",28,19,1946
"119","sim_newsweek-us_1946-12-30_28_27","1946-12-30",28,27,1946
"120","sim_newsweek-us_1947-01-20_29_3","1947-01-20",29,3,1947
"121","sim_newsweek-us_1947-02-10_29_6","1947-02-10",29,6,1947
"122","sim_newsweek-us_1947-03-10_29_10","1947-03-10",29,10,1947
"123","sim_newsweek-us_1947-04-21_29_16","1947-04-21",29,16,1947
"124","sim_newsweek-us_1947-05-19_29_20","1947-05-19",29,20,1947
"125","sim_newsweek-us_1947-06-30_29_26","1947-06-30",29,26,1947
"126","sim_newsweek-us_1947-07-14_30_2","1947-07-14",30,2,1947
"127","sim_newsweek-us_1947-08-11_30_6","1947-08-11",30,6,1947
"128","sim_newsweek-us_1947-09-08_30_10","1947-09-08",30,10,1947
"129","sim_newsweek-us_1947-10-20_30_16","1947-10-20",30,16,1947
"130","sim_newsweek-us_1947-11-10_30_19","1947-11-10",30,19,1947
"131","sim_newsweek-us_1947-12-08_30_23","1947-12-08",30,23,1947
"132","sim_newsweek-us_1948-01-05_31_1","1948-01-05",31,1,1948
"133","sim_newsweek-us_1948-02-02_31_5","1948-02-02",31,5,1948
"134","sim_newsweek-us_1948-03-01_31_9","1948-03-01",31,9,1948
"135","sim_newsweek-us_1948-04-19_31_16","1948-04-19",31,16,1948
"136","sim_newsweek-us_1948-05-10_31_19","1948-05-10",31,19,1948
"137","sim_newsweek-us_1948-06-14_31_24","1948-06-14",31,24,1948
"138","sim_newsweek-us_1948-08-16_32_7","1948-08-16",32,7,1948
"139","sim_newsweek-us_1948-09-20_32_12","1948-09-20",32,12,1948
"140","sim_newsweek-us_1948-10-11_32_15","1948-10-11",32,15,1948
"141","sim_newsweek-us_1948-12-13_32_24","1948-12-13",32,24,1948
"142","sim_newsweek-us_1949-01-03_33_1","1949-01-03",33,1,1949
"143","sim_newsweek-us_1949-02-07_33_6","1949-02-07",33,6,1949
"144","sim_newsweek-us_1949-03-14_33_11","1949-03-14",33,11,1949
"145","sim_newsweek-us_1949-04-25_33_17","1949-04-25",33,17,1949
"146","sim_newsweek-us_1949-05-09_33_19","1949-05-09",33,19,1949
"147","sim_newsweek-us_1949-06-13_33_24","1949-06-13",33,24,1949
"148","sim_newsweek-us_1949-07-18_34_3","1949-07-18",34,3,1949
"149","sim_newsweek-us_1949-08-15_34_7","1949-08-15",34,7,1949
"150","sim_newsweek-us_1949-09-19_34_12","1949-09-19",34,12,1949
"151","sim_newsweek-us_1949-10-03_34_14","1949-10-03",34,14,1949
"152","sim_newsweek-us_1949-11-07_34_19","1949-11-07",34,19,1949
"153","sim_newsweek-us_1949-12-26_34_26","1949-12-26",34,26,1949
"154","sim_newsweek-us_1950-01-30_35_5","1950-01-30",35,5,1950
"155","sim_newsweek-us_1950-02-06_35_6","1950-02-06",35,6,1950
"156","sim_newsweek-us_1950-03-27_35_13","1950-03-27",35,13,1950
"157","sim_newsweek-us_1950-04-10_35_15","1950-04-10",35,15,1950
"158","sim_newsweek-us_1950-05-01_35_18","1950-05-01",35,18,1950
"159","sim_newsweek-us_1950-06-26_35_26","1950-06-26",35,26,1950
"160","sim_newsweek-us_1950-07-10_36_2","1950-07-10",36,2,1950
"161","sim_newsweek-us_1950-08-07_36_6","1950-08-07",36,6,1950
"162","sim_newsweek-us_1950-09-04_36_10","1950-09-04",36,10,1950
"163","sim_newsweek-us_1950-10-23_36_17","1950-10-23",36,17,1950
"164","sim_newsweek-us_1950-11-20_36_21","1950-11-20",36,21,1950
"165","sim_newsweek-us_1950-12-11_36_24","1950-12-11",36,24,1950
"166","sim_newsweek-us_1951-01-08_37_2","1951-01-08",37,2,1951
"167","sim_newsweek-us_1951-02-19_37_8","1951-02-19",37,8,1951
"168","sim_newsweek-us_1951-03-05_37_10","1951-03-05",37,10,1951
"169","sim_newsweek-us_1951-04-02_37_14","1951-04-02",37,14,1951
"170","sim_newsweek-us_1951-05-21_37_21","1951-05-21",37,21,1951
"171","sim_newsweek-us_1951-06-18_37_25","1951-06-18",37,25,1951
"172","sim_newsweek-us_1951-07-16_38_3","1951-07-16",38,3,1951
"173","sim_newsweek-us_1951-08-20_38_8","1951-08-20",38,8,1951
"174","sim_newsweek-us_1951-09-17_38_12","1951-09-17",38,12,1951
"175","sim_newsweek-us_1951-10-22_38_17","1951-10-22",38,17,1951
"176","sim_newsweek-us_1951-11-12_38_20","1951-11-12",38,20,1951
"177","sim_newsweek-us_1951-12-24_38_26","1951-12-24",38,26,1951
"178","sim_newsweek-us_1952-01-21_39_3","1952-01-21",39,3,1952
"179","sim_newsweek-us_1952-02-18_39_7","1952-02-18",39,7,1952
"180","sim_newsweek-us_1952-03-24_39_12","1952-03-24",39,12,1952
"181","sim_newsweek-us_1952-04-21_39_16","1952-04-21",39,16,1952
"182","sim_newsweek-us_1952-05-19_39_20","1952-05-19",39,20,1952
"183","sim_newsweek-us_1952-06-30_39_26","1952-06-30",39,26,1952
"184","sim_newsweek-us_1952-07-21_40_3","1952-07-21",40,3,1952
"185","sim_newsweek-us_1952-08-11_40_6","1952-08-11",40,6,1952
"186","sim_newsweek-us_1952-09-15_40_11","1952-09-15",40,11,1952
"187","sim_newsweek-us_1952-10-06_40_14","1952-10-06",40,14,1952
"188","sim_newsweek-us_1952-11-17_40_21","1952-11-17",40,21,1952
"189","sim_newsweek-us_1952-12-22_40_26","1952-12-22",40,26,1952
"190","sim_newsweek-us_1953-02-09_41_6","1953-02-09",41,6,1953
"191","sim_newsweek-us_1953-03-30_41_13","1953-03-30",41,13,1953
"192","sim_newsweek-us_1953-04-20_41_16","1953-04-20",41,16,1953
"193","sim_newsweek-us_1953-05-18_41_20","1953-05-18",41,20,1953
"194","sim_newsweek-us_1953-06-01_41_22","1953-06-01",41,22,1953
"195","sim_newsweek-us_1953-07-27_42_4","1953-07-27",42,4,1953
"196","sim_newsweek-us_1953-08-17_42_7","1953-08-17",42,7,1953
"197","sim_newsweek-us_1953-09-14_42_11","1953-09-14",42,11,1953
"198","sim_newsweek-us_1953-10-19_42_16","1953-10-19",42,16,1953
"199","sim_newsweek-us_1953-12-28_42_26","1953-12-28",42,26,1953
"200","sim_newsweek-us_1954-01-04_43_1","1954-01-04",43,1,1954
"201","sim_newsweek-us_1954-02-01_43_5","1954-02-01",43,5,1954
"202","sim_newsweek-us_1954-03-22_43_12","1954-03-22",43,12,1954
"203","sim_newsweek-us_1954-04-12_43_15","1954-04-12",43,15,1954
"204","sim_newsweek-us_1954-05-03_43_18","1954-05-03",43,18,1954
"205","sim_newsweek-us_1954-06-07_43_23","1954-06-07",43,23,1954
"206","sim_newsweek-us_1954-07-12_44_2","1954-07-12",44,2,1954
"207","sim_newsweek-us_1954-08-02_44_5","1954-08-02",44,5,1954
"208","sim_newsweek-us_1954-09-06_44_10","1954-09-06",44,10,1954
"209","sim_newsweek-us_1954-10-25_44_17","1954-10-25",44,17,1954
"210","sim_newsweek-us_1954-11-08_44_19","1954-11-08",44,19,1954
"211","sim_newsweek-us_1954-12-20_44_25","1954-12-20",44,25,1954
"212","sim_newsweek-us_1955-01-10_45_2","1955-01-10",45,2,1955
"213","sim_newsweek-us_1955-02-28_45_9","1955-02-28",45,9,1955
"214","sim_newsweek-us_1955-03-28_45_13","1955-03-28",45,13,1955
"215","sim_newsweek-us_1955-04-18_45_16","1955-04-18",45,16,1955
"216","sim_newsweek-us_1955-05-02_45_18","1955-05-02",45,18,1955
"217","sim_newsweek-us_1955-06-27_45_26","1955-06-27",45,26,1955
"218","sim_newsweek-us_1955-07-11_46_2","1955-07-11",46,2,1955
"219","sim_newsweek-us_1955-08-15_46_7","1955-08-15",46,7,1955
"220","sim_newsweek-us_1955-09-12_46_11","1955-09-12",46,11,1955
"221","sim_newsweek-us_1955-10-17_46_16","1955-10-17",46,16,1955
"222","sim_newsweek-us_1955-11-21_46_21","1955-11-21",46,21,1955
"223","sim_newsweek-us_1955-12-19_46_25","1955-12-19",46,25,1955
"224","sim_newsweek-us_1956-01-23_47_4","1956-01-23",47,4,1956
"225","sim_newsweek-us_1956-02-20_47_8","1956-02-20",47,8,1956
"226","sim_newsweek-us_1956-03-12_47_11","1956-03-12",47,11,1956
"227","sim_newsweek-us_1956-04-16_47_16","1956-04-16",47,16,1956
"228","sim_newsweek-us_1956-05-07_47_19","1956-05-07",47,19,1956
"229","sim_newsweek-us_1956-06-18_47_25","1956-06-18",47,25,1956
"230","sim_newsweek-us_1956-07-16_48_3","1956-07-16",48,3,1956
"231","sim_newsweek-us_1956-08-20_48_8","1956-08-20",48,8,1956
"232","sim_newsweek-us_1956-09-24_48_13","1956-09-24",48,13,1956
"233","sim_newsweek-us_1956-11-19_48_21","1956-11-19",48,21,1956
"234","sim_newsweek-us_1956-12-17_48_25","1956-12-17",48,25,1956
"235","sim_newsweek-us_1957-01-21_49_3","1957-01-21",49,3,1957
"236","sim_newsweek-us_1957-02-18_49_7","1957-02-18",49,7,1957
"237","sim_newsweek-us_1957-03-11_49_10","1957-03-11",49,10,1957
"238","sim_newsweek-us_1957-04-15_49_15","1957-04-15",49,15,1957
"239","sim_newsweek-us_1957-05-13_49_19","1957-05-13",49,19,1957
"240","sim_newsweek-us_1957-06-10_49_23","1957-06-10",49,23,1957
"241","sim_newsweek-us_1957-07-01_50_1","1957-07-01",50,1,1957
"242","sim_newsweek-us_1957-08-26_50_9","1957-08-26",50,9,1957
"243","sim_newsweek-us_1957-09-23_50_13","1957-09-23",50,13,1957
"244","sim_newsweek-us_1957-10-14_50_16","1957-10-14",50,16,1957
"245","sim_newsweek-us_1957-11-25_50_22","1957-11-25",50,22,1957
"246","sim_newsweek-us_1957-12-23_50_26","1957-12-23",50,26,1957
"247","sim_newsweek-us_1958-01-27_51_4","1958-01-27",51,4,1958
"248","sim_newsweek-us_1958-02-03_51_5","1958-02-03",51,5,1958
"249","sim_newsweek-us_1958-03-03_51_9","1958-03-03",51,9,1958
"250","sim_newsweek-us_1958-04-28_51_17","1958-04-28",51,17,1958
"251","sim_newsweek-us_1958-05-19_51_20","1958-05-19",51,20,1958
"252","sim_newsweek-us_1958-06-16_51_24","1958-06-16",51,24,1958
"253","sim_newsweek-us_1958-07-14_52_2","1958-07-14",52,2,1958
"254","sim_newsweek-us_1958-08-18_52_7","1958-08-18",52,7,1958
"255","sim_newsweek-us_1958-09-01_52_9","1958-09-01",52,9,1958
"256","sim_newsweek-us_1958-10-20_52_16","1958-10-20",52,16,1958
"257","sim_newsweek-us_1958-11-03_52_18","1958-11-03",52,18,1958
"258","sim_newsweek-us_1958-12-29_52_26","1958-12-29",52,26,1958
"259","sim_newsweek-us_1959-02-16_53_7","1959-02-16",53,7,1959
"260","sim_newsweek-us_1959-03-30_53_13","1959-03-30",53,13,1959
"261","sim_newsweek-us_1959-04-13_53_15","1959-04-13",53,15,1959
"262","sim_newsweek-us_1959-05-04_53_18","1959-05-04",53,18,1959
"263","sim_newsweek-us_1959-06-15_53_24","1959-06-15",53,24,1959
"264","sim_newsweek-us_1959-07-27_54_4","1959-07-27",54,4,1959
"265","sim_newsweek-us_1959-08-10_54_6","1959-08-10",54,6,1959
"266","sim_newsweek-us_1959-09-14_54_11","1959-09-14",54,11,1959
"267","sim_newsweek-us_1959-10-05_54_14","1959-10-05",54,14,1959
"268","sim_newsweek-us_1959-11-16_54_20","1959-11-16",54,20,1959
"269","sim_newsweek-us_1960-01-18_55_3","1960-01-18",55,3,1960
"270","sim_newsweek-us_1960-02-29_55_9","1960-02-29",55,9,1960
"271","sim_newsweek-us_1960-03-14_55_11","1960-03-14",55,11,1960
"272","sim_newsweek-us_1960-04-11_55_15","1960-04-11",55,15,1960
"273","sim_newsweek-us_1960-05-23_55_21","1960-05-23",55,21,1960
"274","sim_newsweek-us_1960-06-13_55_24","1960-06-13",55,24,1960
"275","sim_newsweek-us_1960-07-18_56_3","1960-07-18",56,3,1960
"276","sim_newsweek-us_1960-08-15_56_7","1960-08-15",56,7,1960
"277","sim_newsweek-us_1960-09-19_56_12","1960-09-19",56,12,1960
"278","sim_newsweek-us_1960-10-31_56_18","1960-10-31",56,18,1960
"279","sim_newsweek-us_1960-11-14_56_20","1960-11-14",56,20,1960
"280","sim_newsweek-us_1960-12-05_56_23","1960-12-05",56,23,1960
"281","sim_newsweek-us_1961-01-23_57_4","1961-01-23",57,4,1961
"282","sim_newsweek-us_1961-02-20_57_8","1961-02-20",57,8,1961
"283","sim_newsweek-us_1961-03-13_57_11","1961-03-13",57,11,1961
"284","sim_newsweek-us_1961-04-03_57_14","1961-04-03",57,14,1961
"285","sim_newsweek-us_1961-05-08_57_19","1961-05-08",57,19,1961
"286","sim_newsweek-us_1961-06-26_57_26","1961-06-26",57,26,1961
"287","sim_newsweek-us_1961-07-03_58_1","1961-07-03",58,1,1961
"288","sim_newsweek-us_1961-08-21_58_8","1961-08-21",58,8,1961
"289","sim_newsweek-us_1961-09-04_58_10","1961-09-04",58,10,1961
"290","sim_newsweek-us_1961-10-02_58_14","1961-10-02",58,14,1961
"291","sim_newsweek-us_1961-11-06_58_19","1961-11-06",58,19,1961
"292","sim_newsweek-us_1961-12-25_58_26","1961-12-25",58,26,1961
"293","1953",NA,NA,NA,1953
