x1,index,title,abstract,store_id,article_type,authors,copyright,document_type,entry_date,issn,issue,language,language_of_summary,pages,place_of_publication,pubdate,pubtitle,year,volume,document_url,document_features,start_page,find_a_copy,database,date_new,index_new,old_path,file_exists,new_filename,new_path,success
NA,na,INEFFICIENT COLLEGES: WASTE OF TALENT,"Higher education is not overlooked in the Johnson-sponsored aid-toeducation legislation, but its benefits will fall far short unless the colleges and universities do a great deal to provide more education at less cost per student.",2442863978,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 25, 1965",0028-9604,17,English,English,124,New York,"Oct 25, 1965",Newsweek,1965,66,https://www.proquest.com/magazines/inefficient-colleges/docview/2442863978/se-2?accountid=14696,Photographs,124,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=66&amp;issue=17&amp;title=Newsweek&amp;spage=124&amp;date=1965-10-25&amp;atitle=INEFFICIENT+COLLEGES&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1965-10-25,na,./perspective_extracted/na,FALSE,1965-10-25na.txt,./perspective_renamed/1965-10-25na.txt,FALSE
42,batch2_42.pdf,FOLLOWING THE RETURNS: CUTTING CORNERS,"Dissent from a popular decision always involves painful soul-searching by a judge, a legislator, or a journalist. And when the decision may claim moral justification, opposition is doubly hard. That is why this piece is written with the greatest of reluctance.",1843929578,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 28, 1964",0028-9604,26,English,English,60,New York,"Dec 28, 1964",Newsweek,1964,64,https://www.proquest.com/magazines/following-returns/docview/1843929578/se-2?accountid=14696,Photographs,60,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=64&amp;issue=26&amp;title=Newsweek&amp;spage=60&amp;date=1964-12-28&amp;atitle=FOLLOWING+THE+RETURNS&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1964-12-28,batch2_42_page0.txt,./perspective_extracted/batch2_42_page0.txt,FALSE,1964-12-28batch2_42_page0.txt.txt,./perspective_renamed/1964-12-28batch2_42_page0.txt.txt,FALSE
62,batch2_62.pdf,THIS IS OUR BUSINESS: THE 'LION'S PAW',"While both Presidential candidates may labor to prevent pre-Civil War issues from playing a part in this campaign, there is nothing they can do about the ignition of a still more remote concern—the spirit of 1776.",1866763923,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 10, 1964",0028-9604,6,English,English,72,New York,"Aug 10, 1964",Newsweek,1964,64,https://www.proquest.com/magazines/this-is-our-business/docview/1866763923/se-2?accountid=14696,Photographs,72,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=64&amp;issue=6&amp;title=Newsweek&amp;spage=72&amp;date=1964-08-10&amp;atitle=THIS+IS+OUR+BUSINESS&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1964-08-10,batch2_62_page0.txt,./perspective_extracted/batch2_62_page0.txt,FALSE,1964-08-10batch2_62_page0.txt.txt,./perspective_renamed/1964-08-10batch2_62_page0.txt.txt,FALSE
71,batch2_71.pdf,"AN AMERICAN EPIC: HUNGER, PESTILENCE","This year, 1964, will see two anniversaries in the life of Herbert Hoover. He will be 90 years old in August. And, as fate decreed it, it was in August 50 years ago that Hoover gave up his career as an engineer and in the half century since he has given his entire life to the public service.",1850827043,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jun 8, 1964",0028-9604,23,English,English,108,New York,"Jun 8, 1964",Newsweek,1964,63,https://www.proquest.com/magazines/american-epic/docview/1850827043/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=23&amp;title=Newsweek&amp;spage=108&amp;date=1964-06-08&amp;atitle=AN+AMERICAN+EPIC&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1964-06-08,batch2_71_page0.txt,./perspective_extracted/batch2_71_page0.txt,FALSE,1964-06-08batch2_71_page0.txt.txt,./perspective_renamed/1964-06-08batch2_71_page0.txt.txt,FALSE
78,batch2_78.pdf,The Essential South: THE EISENHOWER DECLINE,"OKLAHOMA City—The emergence of a young and growing Republican Party in the hitherto Democratic South may well be the salvation of the Republican cause over the nation. Indeed, it may be essential to the preservation of a national twoparty system. This is why I have attempted to study this remarkable political change during a five weeks' trip through the South this spring and also in 1963.",1850809991,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Apr 20, 1964",0028-9604,16,English,English,122,New York,"Apr 20, 1964",Newsweek,1964,63,https://www.proquest.com/magazines/essential-south/docview/1850809991/se-2?accountid=14696,Photographs,122,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=63&amp;issue=16&amp;title=Newsweek&amp;spage=122&amp;date=1964-04-20&amp;atitle=The+Essential+South&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1964-04-20,batch2_78_page0.txt,./perspective_extracted/batch2_78_page0.txt,FALSE,1964-04-20batch2_78_page0.txt.txt,./perspective_renamed/1964-04-20batch2_78_page0.txt.txt,FALSE
177,batch2_177.pdf,The Issues in California: WORLDWIDE OUTLOOK,LOS ANGELES—Many good citizens of California with whom I have discussed the current primary campaign deeply deplore some of the national publicity which it has received. Such embarrassments through misunderstanding of the complex nature of California politics are not new.,1879127222,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"May 28, 1962",0028-9604,22,English,English,106,New York,"May 28, 1962",Newsweek,1962,59,https://www.proquest.com/magazines/issues-california/docview/1879127222/se-2?accountid=14696,Photographs,106,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=59&amp;issue=22&amp;title=Newsweek&amp;spage=106&amp;date=1962-05-28&amp;atitle=The+Issues+in+California&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1962-05-28,batch2_177_page0.txt,./perspective_extracted/batch2_177_page0.txt,FALSE,1962-05-28batch2_177_page0.txt.txt,./perspective_renamed/1962-05-28batch2_177_page0.txt.txt,FALSE
197,na,Scattered Policy-Making: DIVIDED RESPONSIBILITY,"THE circumstances which have brought and still may bring the United States disastrous consequences in the Congo invite examination. Those future consequences of the U.N. adventure could be either bloody chaos and factional strife followed by Communist penetration, or complete conquest of Katanga.",1895331199,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 1, 1962",0028-9604,1,English,English,56,New York,"Jan 1, 1962",Newsweek,1962,59,https://www.proquest.com/magazines/scattered-policy-making/docview/1895331199/se-2?accountid=14696,Photographs,56,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=59&amp;issue=1&amp;title=Newsweek&amp;spage=56&amp;date=1962-01-01&amp;atitle=Scattered+Policy-Making&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1962-01-01,na,./perspective_extracted/na,FALSE,1962-01-01na.txt,./perspective_renamed/1962-01-01na.txt,FALSE
209,batch2_209.pdf,"A Money Crisis, Too: THE RECKONING","MR. CORNELIUS CITIZEN, confronted with a new national or international crisis a day, recedes from his once-exalted state as master of his government to membership in a be wildered, fearful mass of onlookers. On some issues he can give the inquiring reporter a quick answer.",1866727336,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 9, 1961",0028-9604,15,English,English,106,New York,"Oct 9, 1961",Newsweek,1961,58,https://www.proquest.com/magazines/money-crisis-too/docview/1866727336/se-2?accountid=14696,Photographs,106,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=58&amp;issue=15&amp;title=Newsweek&amp;spage=106&amp;date=1961-10-09&amp;atitle=A+Money+Crisis%2C+Too&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1961-10-09,batch2_209_page0.txt,./perspective_extracted/batch2_209_page0.txt,FALSE,1961-10-09batch2_209_page0.txt.txt,./perspective_renamed/1961-10-09batch2_209_page0.txt.txt,FALSE
233,batch2_233.pdf,'Flags of Necessity': NO SUBSIDIES,"ON FEB. 16, 1961, the National Labor Relations Board brushed aside the long settled policy of other Federal agencies and ruled that it would assume jurisdiction over the foreign crew of an American-owned ship registered under the Liberian flag.",1894162456,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Apr 24, 1961",0028-9604,17,English,English,104,New York,"Apr 24, 1961",Newsweek,1961,57,https://www.proquest.com/magazines/flags-necessity/docview/1894162456/se-2?accountid=14696,Photographs,104,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=57&amp;issue=17&amp;title=Newsweek&amp;spage=104&amp;date=1961-04-24&amp;atitle=%27Flags+of+Necessity%27&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1961-04-24,batch2_233_page0.txt,./perspective_extracted/batch2_233_page0.txt,FALSE,1961-04-24batch2_233_page0.txt.txt,./perspective_renamed/1961-04-24batch2_233_page0.txt.txt,FALSE
255,na,The Disfranchised: CORRECTION BY LAW,"IN THE midst of all the hand-on| heart declarations of politicians concerning the Negroes who are prevented from voting and the boasts that the right to vote has been extended by Federal law to enfranchise those people, to my knowledge nothing has been said or done by either party for 8 million voters who were unable to vote on Nov. 8.",2442862441,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 21, 1960",0028-9604,22,English,English,116,New York,"Nov 21, 1960",Newsweek,1960,56,https://www.proquest.com/magazines/disfranchised/docview/2442862441/se-2?accountid=14696,Photographs,116,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=56&amp;issue=22&amp;title=Newsweek&amp;spage=116&amp;date=1960-11-21&amp;atitle=The+Disfranchised&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-11-21,na,./perspective_extracted/na,FALSE,1960-11-21na.txt,./perspective_renamed/1960-11-21na.txt,FALSE
15,batch3_15.pdf,Image and Inheritance: EASY TO UNDERSTAND,"THIS may be a good moment to reflect upon the remarkable achievement of a young man with a single purpose who rose so fast and so soon to the prize of prizes, a Presidential nomination. The only candidacy which has ever offered a comparison with that of John Fitzgerald Kennedy was that which Marcus A. Hanna promoted for his beloved friend William McKinley over a period of eight years.",1879122760,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Aug 1, 1960",0028-9604,5,English,English,84,New York,"Aug 1, 1960",Newsweek,1960,56,https://www.proquest.com/magazines/image-inheritance/docview/1879122760/se-2?accountid=14696,Photographs,84,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=56&amp;issue=5&amp;title=Newsweek&amp;spage=84&amp;date=1960-08-01&amp;atitle=Image+and+Inheritance&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-08-01,batch3_15_page0.txt,./perspective_extracted/batch3_15_page0.txt,FALSE,1960-08-01batch3_15_page0.txt.txt,./perspective_renamed/1960-08-01batch3_15_page0.txt.txt,FALSE
38,batch3_38.pdf,World Peace by Law: CONNALLY RESERVATION,"As AN ideal, ""world peace through law"" has moved enlightened minds over many centuries. There were many prophets even before Dante wrote his De Monarchia in the fourteenth century. Three hundred years later, Hugo Grotius became the founder of modern international law.",1883545803,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Feb 22, 1960",0028-9604,8,English,English,108,New York,"Feb 22, 1960",Newsweek,1960,55,https://www.proquest.com/magazines/world-peace-law/docview/1883545803/se-2?accountid=14696,Photographs,108,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=55&amp;issue=8&amp;title=Newsweek&amp;spage=108&amp;date=1960-02-22&amp;atitle=World+Peace+by+Law&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-02-22,batch3_38_page0.txt,./perspective_extracted/batch3_38_page0.txt,FALSE,1960-02-22batch3_38_page0.txt.txt,./perspective_renamed/1960-02-22batch3_38_page0.txt.txt,FALSE
44,batch3_44.pdf,The Vice Presidency: THESE ARE EXPENDABLE,RICHARD NIXON has created a significant constitutional institution out of the shell of a meaningless sinecure. Therein lies a wonderful chance for both parties to show that they are not wedded to ossified traditions about the Vice Presidency. One such tradition is that the nominee should be a bait for votes.,1843931961,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Jan 11, 1960",0028-9604,2,English,English,94,New York,"Jan 11, 1960",Newsweek,1960,55,https://www.proquest.com/magazines/vice-presidency/docview/1843931961/se-2?accountid=14696,Photographs,94,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=55&amp;issue=2&amp;title=Newsweek&amp;spage=94&amp;date=1960-01-11&amp;atitle=The+Vice+Presidency&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1960-01-11,batch3_44_page0.txt,./perspective_extracted/batch3_44_page0.txt,FALSE,1960-01-11batch3_44_page0.txt.txt,./perspective_renamed/1960-01-11batch3_44_page0.txt.txt,FALSE
50,batch3_50.pdf,Dilemma of the Left: AN ILL-ASSORTED LOT,"Now, seven weeks after witnessing the rout of the Labor Party in Britain and after visiting three other countries in Europe, it is time to appraise the political revolution which seems to be quietly moving over our Western allies. It is the ascendency of experience over experimentation, the realization of the possible over prophecy, things over ideology, and fact over fancy.",1882557566,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 30, 1959",0028-9604,22,English,English,112,New York,"Nov 30, 1959",Newsweek,1959,54,https://www.proquest.com/magazines/dilemma-left/docview/1882557566/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=54&amp;issue=22&amp;title=Newsweek&amp;spage=112&amp;date=1959-11-30&amp;atitle=Dilemma+of+the+Left&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1959-11-30,batch3_50_page0.txt,./perspective_extracted/batch3_50_page0.txt,FALSE,1959-11-30batch3_50_page0.txt.txt,./perspective_renamed/1959-11-30batch3_50_page0.txt.txt,FALSE
33,batch4_33.pdf,Curran et al. vs. U.S.A.: FAST SHIPS,"THE four-day boycott of ships registered under the laws of several small nations, mentioned in this space last week, has come and gone. It was initiated for publicity purposes by the International Transport Workers' Federation, housed in a small office in London. A dud abroad, it got its most lusty support from Joseph Curran's National Maritime Union and Paul Hall's Seafarers.",1894148224,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Dec 29, 1958",0028-9604,26,English,English,68,New York,"Dec 29, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/curran-et-al-vs-u-s/docview/1894148224/se-2?accountid=14696,Photographs,68,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=26&amp;title=Newsweek&amp;spage=68&amp;date=1958-12-29&amp;atitle=Curran+et+al.+vs.+U.S.A.&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-12-29,batch4_33_page0.txt,./perspective_extracted/batch4_33_page0.txt,FALSE,1958-12-29batch4_33_page0.txt.txt,./perspective_renamed/1958-12-29batch4_33_page0.txt.txt,FALSE
38,batch4_38.pdf,Politicians Run a War: VACUUMS FOR STALIN,"GEN. Albert C. Wedemeyer's book, ""Wedemeyer Reports"" (NEWSWEEK, Nov. 17), is destined to fan hot flames of controversy. For he steps on many toes—big toes, too. Through the incisive skill of a man who knew, as few others, the art and science of warfare, Wedemeyer portrays the frailties and strength of those politicians whose word was final in the war in Europe between 1942 and 1945.",1843952091,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Nov 24, 1958",0028-9604,21,English,English,120,New York,"Nov 24, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/politicians-run-war/docview/1843952091/se-2?accountid=14696,Photographs,120,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=21&amp;title=Newsweek&amp;spage=120&amp;date=1958-11-24&amp;atitle=Politicians+Run+a+War&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-11-24,batch4_38_page0.txt,./perspective_extracted/batch4_38_page0.txt,FALSE,1958-11-24batch4_38_page0.txt.txt,./perspective_renamed/1958-11-24batch4_38_page0.txt.txt,FALSE
45,batch4_45.pdf,Status of Our Teachers: SALARIES ARE GOOD,"To ANTICIPATE letters about my living in an ivory tower, I shall qualify as a witness. Beginning in a one-room, eight-grade district school, I was over a considerable period engaged in grade, high-school, college, and university instruction. I know from experience the trials, troubles, and triumphs of the trade.",1894143089,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Oct 6, 1958",0028-9604,14,English,English,96,New York,"Oct 6, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/status-our-teachers/docview/1894143089/se-2?accountid=14696,Photographs,96,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=14&amp;title=Newsweek&amp;spage=96&amp;date=1958-10-06&amp;atitle=Status+of+Our+Teachers&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-10-06,batch4_45_page0.txt,./perspective_extracted/batch4_45_page0.txt,FALSE,1958-10-06batch4_45_page0.txt.txt,./perspective_renamed/1958-10-06batch4_45_page0.txt.txt,FALSE
48,na,Behind the Subsidies: ROLE OF CONSUMERS,"MONTPELIER, VT.—One of the richest rewards of a summer up here in the heart of the Green Mountains is contact with people in public as well as in private life who can take a cool, semidetached look at the affairs of the nation. Montpelier, one of the smaller state capitals, is rich in tradition but cosmopolitan in outlook.",2442862650,Magazines,"Moley, Raymond","© IBT Media, Inc",Article,"Sep 15, 1958",0028-9604,11,English,English,112,New York,"Sep 15, 1958",Newsweek,1958,52,https://www.proquest.com/magazines/behind-subsidies/docview/2442862650/se-2?accountid=14696,Photographs,112,https://usmai-umcp.primo.exlibrisgroup.com/openurl/01USMAI_UMCP/01USMAI_UMCP:UMCP?sid=ProQ:&amp;issn=00289604&amp;volume=52&amp;issue=11&amp;title=Newsweek&amp;spage=112&amp;date=1958-09-15&amp;atitle=Behind+the+Subsidies&amp;au=Moley%2C+Raymond&amp;id=doi:,The Newsweek Archive,1958-09-15,na,./perspective_extracted/na,FALSE,1958-09-15na.txt,./perspective_renamed/1958-09-15na.txt,FALSE
