text,n,affiliation
Raymond Moley,1453,Other
Franklin D. Roosevelt,984,Democrat
Harry S. Truman,334,Democrat
Richard Nixon,328,Republican
Dwight D. Eisenhower,286,Republican
Barry Goldwater,227,Republican
Wendell Willkie,206,Republican
John F. Kennedy,191,Democrat
Henry Wallace,190,Democrat
Robert Taft,166,Republican
Adolf Hitler,152,Other
Johnson,152,Unknown
Earl Warren,142,Republican
Herbert Hoover,137,Republican
Bricker,124,Republican
Adlai Stevenson,105,Democrat
Joseph Stalin,104,Other
Jackson,86,Democrat
Winston Churchill,80,Other
Douglas,77,Unknown
Reuther,76,Other
Thomas Dewey,75,Republican
Arnold,72,Unknown
Vandenberg,70,Republican
Hull,69,Democrat
Clark,65,Unknown
Ickes,64,Democrat
Jefferson,58,Democrat
Morse,54,Unknown
Stassen,53,Republican
Frankfurter,50,Other
Davis,48,Unknown
Hiss,47,Other
Humphrey,44,Democrat
Wilson,44,Unknown
Flynn,43,Democrat
Farley,40,Democrat
Lewis,38,Other
Barkley,37,Democrat
Jones,36,Unknown
Machiavelli,36,Other
Murray,36,Unknown
Frank,35,Unknown
Smith,35,Unknown
Woodrow Wilson,35,Democrat
Hillman,34,Other
La Follette,34,Unknown
Borah,33,Unknown
Garner,32,Democrat
Marx,32,Other
Burke,31,Other
Harding,31,Republican
Uncle Sam,31,Other
Baker,29,Unknown
Holmes,29,Other
James,29,Unknown
Laski,29,Other
Lenin,29,Other
Bryan,28,Democrat
Byrd,28,Democrat
Jim,28,Unknown
Nelson,28,Unknown
Reagan,28,Republican
Theodore Roosevelt,28,Republican
Henry,27,Unknown
Lodge,27,Republican
Lyndon B. Johnson,27,Democrat
Lindsay,26,Republican
Madison,26,Democrat
Brown,25,Unknown
George,25,Unknown
Ike,25,Republican
Attlee,24,Other
Higgins,24,Unknown
Hopkins,24,Democrat
Miller,24,Unknown
Rayburn,24,Democrat
Bennett,23,Unknown
Martin,23,Republican
Thomas,23,Unknown
Bliss,22,Unknown
Jesse Jones,22,Democrat
McCarthy,22,Republican
Wheeler,22,Unknown
Olson,21,Unknown
Russell,21,Democrat
Gore,20,Democrat
Hamilton,20,Other
Joe,20,Unknown
Kuchel,20,Republican
Marshall,20,Other
Robert,20,Unknown
Schlesinger,20,Other
Walter Reuther,20,Other
Berle,19,Other
Durkin,19,Other
Gallup,19,Other
Roose-,19,Unknown
William,19,Unknown
Dante,18,Other
John,18,Unknown
MacArthur,18,Other
Murphy,18,Unknown
Webster,18,Other
Dirksen,17,Republican
Henderson,17,Other
John L. Lewis,17,Other
La Guardia,17,Other
McAdoo,17,Unknown
O'Dwyer,17,Democrat
Williams,17,Unknown
Bill,16,Unknown
K,16,Unknown
Kefauver,16,Democrat
Morgenthau,16,Democrat
Mussolini,16,Other
Ribicoff,16,Democrat
Shakespeare,16,Other
Anderson,15,Unknown
Frank Lausche,15,Democrat
Harris,15,Unknown
Kelly,15,Unknown
Lerner,15,Other
Richard,15,Unknown
Sorensen,15,Other
Watkins,15,Unknown
Al Smith,14,Democrat
Byrnes,14,Democrat
Castro,14,Other
Ferguson,14,Republican
Javits,14,Republican
Knudsen,14,Unknown
Monroe,14,Unknown
Saltonstall,14,Republican
Adlai,13,Democrat
Bullitt,13,Other
Harry,13,Unknown
Herbert,13,Unknown
Hiram Johnson,13,Republican
Joseph,13,Unknown
Kerr,13,Democrat
Khrushchev,13,Other
Landon,13,Republican
McKay,13,Republican
Baruch,12,Other
Benson,12,Republican
Bevan,12,Other
Boris,12,Unknown
Bowles,12,Democrat
Brannan,12,Democrat
Djilas,12,Other
Dulles,12,Other
Edmund Burke,12,Other
Edward J. Flynn,12,Democrat
Green,12,Unknown
JFK,12,Democrat
Jim Farley,12,Democrat
John Foster Dulles,12,Other
Molotoff,12,Other
Ray Bliss,12,Republican
Romney,12,Republican
Bryce,11,Unknown
Charley,11,Unknown
Chavez,11,Democrat
Cárdenas,11,Other
Freeman,11,Unknown
Morgan,11,Unknown
Patrick,11,Unknown
Powell,11,Unknown
Vinson,11,Unknown
Welles,11,Other
William Jennings Bryan,11,Democrat
J. Edgar Hoover,11,Other
Alfred E. Smith,10,Democrat
Baldwin,10,Unknown
Black,10,Other
Earl,10,Unknown
Gaitskell,10,Other
Harry Hopkins,10,Democrat
Hirsch,10,Unknown
James Roosevelt,10,Democrat
Knowland,10,Republican
Mark Hanna,10,Republican
Milligan,10,Unknown
Repub-,10,Unknown
Stolberg,10,Unknown
Alger Hiss,9,Other
Daniel,9,Unknown
Disraeli,9,Other
Erhard,9,Other
Hannegan,9,Democrat
Harold Ickes,9,Democrat
Harold Stassen,9,Republican
Hayes,9,Unknown
Henry Hazlitt,9,Other
Sam Rayburn,9,Democrat
Sherman,9,Unknown
Shivers,9,Democrat
T. R.,9,Republican
Walter,9,Unknown
Wiley,9,Republican
Will Hays,9,Republican
Admin-,8,Unknown
Aneurin Bevan,8,Other
Arthur Krock,8,Other
Bernard Baruch,8,Other
Dodd,8,Unknown
Eccles,8,Democrat
Ellis,8,Unknown
Fishbein,8,Unknown
Glass,8,Democrat
Guffey,8,Democrat
Harrison,8,Unknown
Harry F. Byrd,8,Democrat
Hazlitt,8,Other
Huey Long,8,Democrat
John Quincy Adams,8,Republican
King,8,Unknown
Knight,8,Republican
Lausche,8,Democrat
Leon Henderson,8,Other
Lloyd George,8,Other
Ludwig,8,Unknown
McNamara,8,Democrat
Michelson,8,Democrat
O'Mahoney,8,Democrat
Perkins,8,Democrat
Roberts,8,Unknown
Rockefeller,8,Republican
Sidney Hillman,8,Other
Stimson,8,Republican
Strauss,8,Republican
Thurman Arnold,8,Other
Tom,8,Unknown
Udall,8,Democrat
Versailles,8,Other
Wagner,8,Democrat
Weimar,8,Other
Adams,7,Unknown
Bigelow,7,Unknown
Broderick,7,Unknown
Coyle,7,Unknown
Dorfman,7,Unknown
Dunn,7,Unknown
Edison,7,Unknown
Evans,7,Unknown
Felix Frankfurter,7,Other
Fryingpan,7,Unknown
Galbraith,7,Democrat
George Norris,7,Republican
Griswold,7,Unknown
Harriman,7,Democrat
Hatch,7,Democrat
Hoffman,7,Republican
John N. Garner,7,Democrat
Kaiser,7,Unknown
Killory,7,Unknown
Krasnov,7,Unknown
Lovett,7,Republican
Malenkov,7,Other
McClellan,7,Democrat
Mitchell,7,Unknown
Neuberger,7,Democrat
Norman Davis,7,Democrat
O'Brien,7,Unknown
Patterson,7,Unknown
Peter,7,Unknown
Queeny,7,Unknown
Reich,7,Unknown
Robert Humphreys,7,Unknown
Robert Kennedy,7,Democrat
Robert Moses,7,Unknown
Robertson,7,Unknown
Rowan,7,Unknown
Sam,7,Unknown
Thurmond,7,Republican
Tito,7,Other
Wormser,7,Unknown
Hugh Johnson,7,Other
Adam Smith,6,Other
Andrew Jackson Higgins,6,Unknown
Arthur,6,Unknown
Arthur Morgan,6,Unknown
Benton,6,Democrat
Bonneville,6,Unknown
Boss,6,Unknown
Bulkley,6,Democrat
Bush,6,Republican
C.Q.,6,Unknown
Carr,6,Unknown
Charles,6,Unknown
Charles Evans Hughes,6,Republican
Clay,6,Unknown
Czar,6,Unknown
Felix,6,Unknown
Frank Murphy,6,Democrat
Frankenstein,6,Unknown
Garfield,6,Republican
Gilbert,6,Unknown
Glenn,6,Unknown
Glenn Frank,6,Unknown
Glueck,6,Unknown
Hanna,6,Republican
Henry George,6,Other
Hughes,6,Republican
Humphreys,6,Unknown
James F. Byrnes,6,Democrat
Jesse,6,Unknown
Joan,6,Unknown
Klan,6,Other
Lasky,6,Unknown
Lawrence,6,Unknown
Lehman,6,Democrat
Leon Keyserling,6,Democrat
Louis Howe,6,Democrat
Ludlow,6,Democrat
Mao,6,Other
Max Lerner,6,Other
McCarran,6,Democrat
Milton,6,Unknown
Moffett,6,Unknown
Morrison,6,Unknown
Morton,6,Unknown
Nasser,6,Other
Nelson Rockefeller,6,Republican
Nez Perce,6,Unknown
Odlin,6,Unknown
Paul Fannin,6,Republican
Prometheus,6,Other
Raymond,6,Unknown
Robert Wagner,6,Democrat
Robey,6,Unknown
Rusk,6,Democrat
Santa Claus,6,Other
Sherman Adams,6,Republican
Veblen,6,Other
Walker,6,Unknown
Wallas,6,Other
Westerner,6,Unknown
Wherry,6,Republican
White,6,Unknown
William F. Knowland,6,Republican
William Green,6,Other
William O'Dwyer,6,Democrat
Wright,6,Unknown
don,6,Unknown
lic opinion,6,Unknown
Aberhart,5,Other
Abraham Lincoln,5,Republican
Africans,5,Unknown
Amlie,5,Unknown
Andrew Jackson,5,Democrat
Aristotle,5,Other
Augustus,5,Other
Bill Bullitt,5,Democrat
Bismarck,5,Other
Chamberlain,5,Other
Charles R. Hook,5,Unknown
Coolidge,5,Republican
Darwin,5,Other
Davitt,5,Unknown
Dean Burch,5,Republican
Dickinson,5,Unknown
Dillon,5,Unknown
Dilworth,5,Democrat
Donald Nelson,5,Other
Donovan,5,Other
Douglas McKay,5,Republican
Draft,5,Unknown
Florentine,5,Unknown
Fulbright,5,Democrat
Hall,5,Unknown
Herbert Lehman,5,Democrat
Hill,5,Democrat
Hun,5,Unknown
Jenner,5,Republican
Jimmy,5,Unknown
Joe Ferguson,5,Unknown
John Adams,5,Republican
John Hay,5,Republican
John Marshall,5,Other
John W. Bricker,5,Republican
Joseph Campbell,5,Unknown
Julius,5,Unknown
Justice Frankfurter,5,Other
Kennedy Family,5,Democrat
Lee,5,Unknown
Lindley,5,Unknown
MacLeish,5,Democrat
Mary,5,Unknown
Max Eastman,5,Other
McIntire,5,Unknown
Niccolò Machiavelli,5,Other
Paul Hoffman,5,Republican
Penrose,5,Republican
Pittman,5,Democrat
Proxmire,5,Democrat
Randall,5,Unknown
Reed,5,Unknown
René Wormser,5,Unknown
Rex Tugwell,5,Democrat
Robert E. Hannegan,5,Democrat
Robinson,5,Unknown
Seaton,5,Republican
Sloan,5,Unknown
Tshombe,5,Other
Vincent Astor,5,Unknown
Walter Bagehot,5,Other
Will Rogers,5,Other
William H. Taft,5,Republican
Yorty,5,DemocratDwyer,6
Wright,6
don,6
lic opinion,6
Aberhart,5
Abraham Lincoln,5
Africans,5
Amlie,5
Andrew Jackson,5
Aristotle,5
Augustus,5
Bill Bullitt,5
Bismarck,5
Chamberlain,5
Charles R. Hook,5
Coolidge,5
Darwin,5
Davitt,5
Dean Burch,5
Dickinson,5
Dillon,5
Dilworth,5
Donald Nelson,5
Donovan,5
Douglas McKay,5
Draft,5
Florentine,5
Fulbright,5
Hall,5
Herbert Lehman,5
Hill,5
Hun,5
Jenner,5
Jimmy,5
Joe Ferguson,5
John Adams,5
John Hay,5
John Marshall,5
John W. Bricker,5
Joseph Campbell,5
Julius,5
Justice Frankfurter,5
Kennedy Family,5
Lee,5
Lindley,5
MacLeish,5
Mary,5
Max Eastman,5
McIntire,5
Niccolò Machiavelli,5
Paul Hoffman,5
Penrose,5
Pittman,5
Proxmire,5
Randall,5
Reed,5
René Wormser,5
Rex Tugwell,5
Robert E. Hannegan,5
Robinson,5
Seaton,5
Sloan,5
Tshombe,5
Vincent Astor,5
Walter Bagehot,5
Will Rogers,5
William H. Taft,5
Yorty,5